LATITUDE,LONGITUDE,reef.alias,Water_Samples,Region,Subregion,Season,waterYear,Date,Mnth,DOC
-16.114,145.4835,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2018-03-01,3,1089.1416855349999
-16.114,145.484,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2006,2006-01-23,1,733.7694359774998
-16.1140379,145.4850448,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2015,2015-06-17,6,977.5069474099998
-16.1145,145.4833333,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2018-11-01,11,690.6324999999999
-16.1145699,145.4843597,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2012-06-07,6,871.46496628375
-16.115,145.4833333,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2020-07-14,7,868.2952183424999
-16.1165,145.484,Cape Tribulation,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2016-02-26,2,854.4707975624999
-16.4076406,145.5076279,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2014-07-03,7,879.05862075875
-16.4080924,145.5073998,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2013,2013-02-15,2,895.0001154125
-16.4083333,145.5066667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2019-02-08,2,825.7562499999998
-16.4083333,145.5066667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2021,2021-02-15,2,1135.0394999999999
-16.4089378,145.5081064,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2010,2010-03-03,3,773.613796525
-16.409056,145.5094389,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2011,2011-06-21,6,987.6579539774999
-16.4091675,145.5090038,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2014,2013-10-12,10,785.1049003899999
-16.4093307,145.5093143,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2015,2015-02-19,2,980.0927955999998
-16.4093937,145.5074071,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2015,2015-06-17,6,827.7940662874998
-16.409425,145.5080194,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2009,2008-10-11,10,672.7189342699999
-16.4094667,145.5077,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2007-10-14,10,580.4087540999999
-16.4095,145.5086667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2008,2008-03-29,3,772.1520578249999
-16.4095,145.5093333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2005,2005-09-17,9,612.37178170875
-16.4095423,145.5088492,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2010,2010-06-26,6,837.9600866049999
-16.4096333,145.50795,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2020,2020-02-04,2,1040.9533433425
-16.4096398,145.5086885,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2013-06-19,6,816.78151069
-16.4096667,145.511,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2006,2006-01-23,1,728.5584636274999
-16.4098251,145.5077473,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2012,2011-10-02,10,921.3466642975
-16.4098333,145.50935,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2008,2008-08-07,8,732.4216816675
-16.4098333,145.5098333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2011,2011-02-10,2,956.8494987574999
-16.4099423,145.5090155,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2012,2012-02-20,2,838.7460564175
-16.40995,145.5071667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2018,2017-11-09,11,929.1933605149999
-16.4099667,145.5074167,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2020,2019-10-21,10,815.7471233699998
-16.41,145.5066667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2019,2019-06-19,6,885.8112199724999
-16.41,145.5083333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2007,2006-10-30,10,728.283321645
-16.41,145.5083333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2019,2018-11-01,11,755.692063315
-16.41,145.5116667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2007,2007-04-20,4,742.52398363
-16.4100833,145.5081333,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2021,2021-06-12,6,911.99523
-16.4101667,145.5086667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2017,2016-10-24,10,861.2098393599999
-16.4101667,145.5086667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2017,2017-02-11,2,1106.17406425
-16.4101667,145.5086667,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2022,2021-10-04,10,840.9801924999999
-16.4101883,145.5076396,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Dry,2013,2012-10-12,10,863.4255385575001
-16.4102746,145.5082915,Port Douglas,AIMS,Wet Tropics,Barron Daintree,Wet,2016,2015-11-01,11,904.99810184
