AIMS_REEF_NAME,REPORT_YEAR,SITE_NO,TRANSECT_NO,HC,n.points,total.points
Feather Reef,2016,3,4,45,90,200
Feather Reef,2016,3,5,46.5,93,200
Feather Reef,2018,1,1,22,44,200
Feather Reef,2018,1,2,30,60,200
Feather Reef,2018,1,3,23.5,47,200
Feather Reef,2018,1,4,12.5,25,200
Feather Reef,2018,1,5,19.5,39,200
Feather Reef,2018,2,1,30,60,200
Feather Reef,2018,2,2,39,78,200
Feather Reef,2018,2,3,18.5,37,200
Feather Reef,2018,2,4,24.5,49,200
Feather Reef,2018,2,5,33.5,67,200
Feather Reef,2018,3,1,29.5,59,200
Feather Reef,2018,3,2,31.5,63,200
Feather Reef,2018,3,3,31,62,200
Feather Reef,2018,3,4,18.592964824120603,37,199
Feather Reef,2018,3,5,30.5,61,200
Feather Reef,2020,1,1,19.09547738693467,38,199
Feather Reef,2020,1,2,18.5,37,200
Feather Reef,2020,1,3,25,50,200
Feather Reef,2020,1,4,5.41871921182266,11,203
Feather Reef,2020,1,5,12.5,25,200
Feather Reef,2020,2,1,22.641509433962266,48,212
Feather Reef,2020,2,2,20.5,41,200
Feather Reef,2020,2,3,24,48,200
Feather Reef,2020,2,4,28.140703517587937,56,199
Feather Reef,2020,2,5,39.42307692307693,82,208
Feather Reef,2020,3,1,25,50,200
Feather Reef,2020,3,2,18.09045226130653,36,199
Feather Reef,2020,3,3,33.5,67,200
Feather Reef,2020,3,4,10.81081081081081,24,222
Feather Reef,2020,3,5,27.272727272727273,54,198
Fore and Aft Reef,2006,1,1,3.0303030303030303,6,198
Fore and Aft Reef,2006,1,2,1.5,3,200
Fore and Aft Reef,2006,1,3,3.5,7,200
Fore and Aft Reef,2006,1,4,2.5,5,200
Fore and Aft Reef,2006,1,5,5.5,11,200
Fore and Aft Reef,2006,2,1,2,4,200
Fore and Aft Reef,2006,2,2,6.5,13,200
Fore and Aft Reef,2006,2,3,3,6,200
Fore and Aft Reef,2006,2,4,5,10,200
Fore and Aft Reef,2006,2,5,7.5,15,200
Fore and Aft Reef,2006,3,1,3.5,7,200
Fore and Aft Reef,2006,3,2,5.128205128205128,10,195
Fore and Aft Reef,2006,3,3,11.6751269035533,23,197
Fore and Aft Reef,2006,3,4,7.5,15,200
Fore and Aft Reef,2006,3,5,1,2,200
Fore and Aft Reef,2008,1,1,3,6,200
Fore and Aft Reef,2008,1,2,1.5384615384615383,3,195
Fore and Aft Reef,2008,1,3,0.5,1,200
Fore and Aft Reef,2008,1,4,3.5897435897435894,7,195
Fore and Aft Reef,2008,1,5,4.712041884816754,9,191
Fore and Aft Reef,2008,2,1,2.5,5,200
Fore and Aft Reef,2008,2,2,8,16,200
Fore and Aft Reef,2008,2,3,6.282722513089005,12,191
Fore and Aft Reef,2008,2,4,6.842105263157895,13,190
Fore and Aft Reef,2008,2,5,6,12,200
Fore and Aft Reef,2008,3,1,8.717948717948719,17,195
Fore and Aft Reef,2008,3,2,14.358974358974358,28,195
Fore and Aft Reef,2008,3,3,4,8,200
Fore and Aft Reef,2008,3,4,3.5,7,200
Fore and Aft Reef,2008,3,5,3.5,7,200
Fore and Aft Reef,2010,1,1,2.5,5,200
Fore and Aft Reef,2010,1,2,4.5,9,200
Fore and Aft Reef,2010,1,3,4.5,9,200
Fore and Aft Reef,2010,1,4,2,4,200
Fore and Aft Reef,2010,1,5,9.5,19,200
Fore and Aft Reef,2010,2,1,3.5,7,200
Fore and Aft Reef,2010,2,2,9.5,19,200
Fore and Aft Reef,2010,2,3,12.5,25,200
Fore and Aft Reef,2010,2,4,14.500000000000002,29,200
Fore and Aft Reef,2010,2,5,16,32,200
Fore and Aft Reef,2010,3,1,9,18,200
Fore and Aft Reef,2010,3,2,8.040201005025125,16,199
Fore and Aft Reef,2010,3,3,12,24,200
Fore and Aft Reef,2010,3,4,14,28,200
Fore and Aft Reef,2010,3,5,12,24,200
Fore and Aft Reef,2012,1,1,2.5,5,200
Fore and Aft Reef,2012,1,2,1.5,3,200
Fore and Aft Reef,2012,1,3,1,2,200
Fore and Aft Reef,2012,1,4,0.5,1,200
Fore and Aft Reef,2012,1,5,2.5,5,200
Fore and Aft Reef,2012,2,1,1.5,3,200
